SENSOR_NAME ZLPOS ZRPOS U_OR_L
VL25_L 73.378 73.4 u
VL25_R 74.878 74.9 l
VL24_L 68.378 68.4 u
VL24_R 69.878 69.9 l
VL23_L 63.378 63.4 u
VL23_R 64.878 64.9 l
VL22_L 58.378 58.4 u
VL22_R 59.878 59.9 l
VL19_L 43.378 43.4 u
VL19_R 44.878 44.9 l
VL16_L 27.378 27.4 u
VL16_R 28.878 28.9 l
VL15_L 24.378 24.4 u
VL15_R 25.878 25.9 l
VL14_L 21.378 21.4 u
VL14_R 22.878 22.9 l
VL13_L 18.378 18.4 u
VL13_R 19.878 19.9 l
VL12_L 15.378 15.4 u
VL12_R 16.878 16.9 l
VL11_L 12.378 12.4 u
VL11_R 13.878 13.9 l
VL10_L 9.378 9.4 u
VL10_R 10.878 10.9 l
VL09_L 6.378 6.4 u
VL09_R 7.878 7.9 l
VL08_L 3.378 3.4 u
VL08_R 4.878 4.9 l
VL07_L 0.378 0.4 u
VL07_R 1.878 1.9 l
VL06_L -2.622 -2.6 u
VL06_R -1.122 -1.1 l
VL05_L -5.622 -5.6 u
VL05_R -4.122 -4.1 l
VL04_L -8.622 -8.6 u
VL04_R -7.122 -7.1 l
VL03_L -11.622 -11.6 u
VL03_R -10.122 -10.1 l
VL02_L -14.622 -14.6 u
VL02_R -13.122 -13.1 l
VL01_L -17.622 -17.6 u
VL01_R -16.122 -16.1 l
